source,h2,ch4,c2h6,c2h4,c2h2,co,co2,scale,source_scale,label_raw,label_std
alan456/data.xlsx,236,410.2,817.3,159,3.5,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,207.06,21.08,67.34,4.28,141.93,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,24.2,3.2,16.6,3.7,101,,,μL/L,μL/L,低能放电,低能放电
alan456/data.xlsx,64,22,51.7,20.7,95.1,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,120,120,84,33,0.6,,,μL/L,μL/L,低温过热,低温过热
alan456/data.xlsx,35.2,2.6,5.3,1.9,18.3,,,μL/L,μL/L,低能放电,低能放电
alan456/data.xlsx,6709,10500,17700,1400,750,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,69,212,692,135,3.9,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,2054,370,535,26,805,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,56,78,173,18,0,,,μL/L,μL/L,低温过热,低温过热
alan456/data.xlsx,7.5,5.7,2.6,3.4,3.2,,,μL/L,μL/L,正常,正常
alan456/data.xlsx,63,0.29,3.64,0.59,16.8,,,μL/L,μL/L,低能放电,低能放电
alan456/data.xlsx,730,750,1300,190,7,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,30,7.4,1.8,8.5,19,,,μL/L,μL/L,低能放电,低能放电
alan456/data.xlsx,46.1,21.5,15.8,61.5,1.2,,,μL/L,μL/L,正常,正常
alan456/data.xlsx,12,290,355,144,0,,,μL/L,μL/L,中温过热,中温过热
alan456/data.xlsx,45,15,19,1,18,,,μL/L,μL/L,低能放电,低能放电
alan456/data.xlsx,23,23,23,23,23,,,μL/L,μL/L,局部放电,局部放电
alan456/data.xlsx,158,71,146,1.3,685,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,3.51,61,98.03,45.21,0.01,,,μL/L,μL/L,中温过热,中温过热
alan456/data.xlsx,26788,18342,27,2111,0,,,μL/L,μL/L,局部放电,局部放电
alan456/data.xlsx,54,7,8.6,7.4,5.4,,,μL/L,μL/L,低能放电,低能放电
alan456/data.xlsx,36,30,93,10,7.1,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,100,94,304,22,118,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,21,21,21,12,21,,,μL/L,μL/L,正常,正常
alan456/data.xlsx,18,20,12,6,2,,,μL/L,μL/L,局部放电,局部放电
alan456/data.xlsx,15,12,3.2,5.3,0.2,,,μL/L,μL/L,正常,正常
alan456/data.xlsx,21,21,21,21,21,,,μL/L,μL/L,正常,正常
alan456/data.xlsx,80,243,1348,274,8.4,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,225.5,17.6,3,8.4,0,,,μL/L,μL/L,局部放电,局部放电
alan456/data.xlsx,179,413,544,27,473,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,57,77,21,19,0,,,μL/L,μL/L,低温过热,低温过热
alan456/data.xlsx,50,90,260,18,5.9,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,83,35,86,4.9,5.1,,,μL/L,μL/L,中温过热,中温过热
alan456/data.xlsx,81,130,230,74,2.9,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,120,120,84,33,0.55,,,μL/L,μL/L,低温过热,低温过热
alan456/data.xlsx,6.3,7.87,3.03,6.97,11.1,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,90,160,330,54,29,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,4430,941,2475,76,55585,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,170,330,430,77,13,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,4072,15850,22621,9057,535,,,μL/L,μL/L,中温过热,中温过热
alan456/data.xlsx,1565,93,47,34,0,,,μL/L,μL/L,局部放电,局部放电
alan456/data.xlsx,5.4,13.7,11.6,4.2,0,,,μL/L,μL/L,正常,正常
alan456/data.xlsx,160,130,96,33,0,,,μL/L,μL/L,中温过热,中温过热
alan456/data.xlsx,437,27.2,34.9,22.5,30.2,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,246,432,674,141,7.2,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,56.4,42.7,1413,167,17.1,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,300.44,42.14,43.18,3.25,64.71,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,42,97,600,157,0,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,35.1,6,93,16.1,1.1,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,51.1,7.1,5.9,1.7,9.2,,,μL/L,μL/L,低能放电,低能放电
alan456/data.xlsx,155,581,293,215,142,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,477,566,239,734,116,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,117,5.8,15.9,7,12.8,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,4683,148,44.7,1364,12078,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,52.5,32.9,9.73,79.3,9.8,,,μL/L,μL/L,低能放电,低能放电
alan456/data.xlsx,421,135,27.7,351,374,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,56.4,42.7,167,1413,17.1,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,74.8,482,297,1409,7.5,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,6,0.5,0.29,1.87,7.42,,,μL/L,μL/L,低能放电,低能放电
alan456/data.xlsx,63,0.29,0.59,3.64,16.8,,,μL/L,μL/L,低能放电,低能放电
alan456/data.xlsx,22.5,8.5,1.2,7.3,8.4,,,μL/L,μL/L,低能放电,低能放电
alan456/data.xlsx,31,6.6,4.7,19,67,,,μL/L,μL/L,低能放电,低能放电
alan456/data.xlsx,32.2,5.5,1.4,12.6,13.2,,,μL/L,μL/L,低能放电,低能放电
alan456/data.xlsx,3.3,1.1,0.9,3.1,3.3,,,μL/L,μL/L,低能放电,低能放电
alan456/data.xlsx,45,15,1,19,18,,,μL/L,μL/L,低能放电,低能放电
alan456/data.xlsx,71.6,20.2,2.7,34.6,44.2,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,72,116,36,70,19,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,7.8,111,129,701,2.8,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,58,103,51,251,6,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,316,36.1,37.3,109,440,,,μL/L,μL/L,低能放电,低能放电
alan456/data.xlsx,49,41.6,25.1,124,15.7,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,21,7.6,4.7,96.3,26.73,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,65,26.1,10.1,41.6,57.8,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,64,22,20.7,51.7,95.1,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,150,80,235,105,35,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,80,243,274,1348,8.4,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,158,71,1.3,146,685,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,24.2,3.2,3.7,16.6,101,,,μL/L,μL/L,低能放电,低能放电
alan456/data.xlsx,35.2,2.6,1.9,5.3,18.3,,,μL/L,μL/L,低能放电,低能放电
alan456/data.xlsx,294,27.4,5.6,52.6,338,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,437,27.2,22.5,34.9,30.2,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,2054,370,26,535,805,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,136,140,59,582,140,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,4430,941,76,2475,55585,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,179,413,27,544,473,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,143,305,78,721,2,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,170,300,44,580,8.9,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,180,340,52,6303,10,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,17,21,11,145,4.1,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,60,40,9.9,110,70,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,90,160,54,330,29,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,250,63,2.8,66,120,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,44.6,63.2,20.1,129,0.66,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,246,432,141,674,7.2,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,4.1,3.5,0.68,1.2,5.2,,,μL/L,μL/L,低能放电,低能放电
alan456/data.xlsx,56,144,36,164,1.8,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,69,212,135,692,3.9,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,82,161,79,406,8.9,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,34,60,11,123,6,,,μL/L,μL/L,低能放电,低能放电
alan456/data.xlsx,96,13.7,3.8,35.6,5.4,,,μL/L,μL/L,低能放电,低能放电
alan456/data.xlsx,181,316,115,593,2,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,190,450,240,850,0.6,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,12,14.6,7.2,14.4,0.98,,,μL/L,μL/L,低能放电,低能放电
alan456/data.xlsx,11.9,12.4,5.9,13.6,1.03,,,μL/L,μL/L,低能放电,低能放电
alan456/data.xlsx,49.1,12.2,0.3,3.9,4.8,,,μL/L,μL/L,低能放电,低能放电
alan456/data.xlsx,46.7,8.2,1.8,5.1,4.1,,,μL/L,μL/L,低能放电,低能放电
alan456/data.xlsx,53.9,8.3,1.1,6,7.1,,,μL/L,μL/L,低能放电,低能放电
alan456/data.xlsx,51.1,7.1,1.7,5.9,9.2,,,μL/L,μL/L,低能放电,低能放电
alan456/data.xlsx,81,130,74,230,2.9,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,170,330,77,430,13,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,50,90,18,260,5.9,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,29,7.52,5.5,14.8,5.4,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,6.3,7.87,6.97,3.03,11.1,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,413,6.8,40.4,4.6,8.15,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,23.4,14.3,7.12,9.71,3.44,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,76,202,275,3216,16,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,87,500,26,520,9,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,410,120,18,71,250,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,279,487,109,708,4.4,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,3930,2397,157,0,0,,,μL/L,μL/L,局部放电,局部放电
alan456/data.xlsx,37800,1740,249,8,8,,,μL/L,μL/L,局部放电,局部放电
alan456/data.xlsx,92600,10200,0,0,0,,,μL/L,μL/L,局部放电,局部放电
alan456/data.xlsx,8266,1061,22,0,0,,,μL/L,μL/L,局部放电,局部放电
alan456/data.xlsx,9340,995,60,6,7,,,μL/L,μL/L,局部放电,局部放电
alan456/data.xlsx,36036,4704,554,5,10,,,μL/L,μL/L,局部放电,局部放电
alan456/data.xlsx,78,20,11,13,28,,,μL/L,μL/L,低能放电,低能放电
alan456/data.xlsx,305,100,33,161,541,,,μL/L,μL/L,低能放电,低能放电
alan456/data.xlsx,35,6,3,26,482,,,μL/L,μL/L,低能放电,低能放电
alan456/data.xlsx,543,120,41,411,1880,,,μL/L,μL/L,低能放电,低能放电
alan456/data.xlsx,1230,163,27,233,692,,,μL/L,μL/L,低能放电,低能放电
alan456/data.xlsx,60,10,4,4,4,,,μL/L,μL/L,低能放电,低能放电
alan456/data.xlsx,95,10,0,11,39,,,μL/L,μL/L,低能放电,低能放电
alan456/data.xlsx,6870,1028,79,900,5500,,,μL/L,μL/L,低能放电,低能放电
alan456/data.xlsx,10092,5399,530,6500,37565,,,μL/L,μL/L,低能放电,低能放电
alan456/data.xlsx,650,81,170,51,270,,,μL/L,μL/L,低能放电,低能放电
alan456/data.xlsx,545,130,16,153,239,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,7150,1440,97,1210,1760,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,620,325,38,181,244,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,120,31,0,66,94,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,755,229,32,404,460,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,5100,1430,0,1140,1010,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,1570,1110,175,1780,1830,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,3090,5020,323,3800,2540,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,1820,405,35,365,634,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,535,160,16,305,680,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,13,3,1,3,6,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,137,67,7,53,104,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,1084,188,8,166,769,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,34,21,4,49,56,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,7940,2000,355,3120,5390,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,150,130,9,55,30,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,8200,3790,250,4620,5830,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,260,215,35,334,277,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,75,15,7,14,26,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,530,345,85,266,250,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,90,28,8,31,32,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,220,77,22,170,240,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,2800,2800,234,3500,3600,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,99,170,20,200,190,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,310,230,54,610,760,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,800,160,23,260,600,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,1500,395,28,395,323,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,20000,13000,1850,29000,57000,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,305,85,25,197,130,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,1900,530,35,383,434,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,110,62,90,140,250,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,3700,1690,128,2810,3270,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,2770,660,54,712,763,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,1170,255,18,312,325,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,4419,3564,668,2861,2025,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,810,280,111,570,490,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,10000,6730,345,7330,10400,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,1570,735,87,1330,1740,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,8800,64064,72128,95650,0,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,6709,10500,1400,17700,750,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,1100,1600,221,2010,26,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,290,966,299,1810,57,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,2500,10500,4790,13500,6,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,1860,4980,0,10700,1600,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,860,1670,30,2050,40,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,150,22,9,60,11,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,400,940,210,820,24,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,6,2990,29990,26076,67,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,100,200,110,670,11,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,290,1260,231,820,8,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,1550,2740,816,5450,184,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,3910,4290,626,6040,1230,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,1,8,8,100,6,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,300,700,280,1700,36,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,107,143,34,222,2,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,54.54,71.93,9.72,97.37,6.58,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,116.17,180.83,52.48,278.18,5.36,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,5760,540,40.5,1000,2760,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,50.18,171.12,74.7,148.69,0,,,μL/L,μL/L,中温过热,中温过热
alan456/data.xlsx,20,80.2,24.6,68.6,0,,,μL/L,μL/L,中温过热,中温过热
alan456/data.xlsx,28.97,10.94,1.64,6.96,4.36,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,15.9,55.98,22.33,137.25,0.21,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,47.6,19.1,4.21,27,0.72,,,μL/L,μL/L,低温过热,低温过热
alan456/data.xlsx,40,102.6,32.3,183.3,0.2,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,50.35,65.58,21.05,99.13,0.96,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,2.369,119.69,21.891,20.15,0,,,μL/L,μL/L,低温过热,低温过热
alan456/data.xlsx,120.45,210.91,35.7,285.39,15.86,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,87.17,17.26,3.94,12.87,32.81,,,μL/L,μL/L,低能放电,低能放电
alan456/data.xlsx,5.48,48.82,96.81,489.57,0.3,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,605,1586,655,1901,2.3,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,1.96,2.1,0.5,0.67,1.59,,,μL/L,μL/L,低能放电,低能放电
alan456/data.xlsx,462,212.4,31.6,0,0,,,μL/L,μL/L,局部放电,局部放电
alan456/data.xlsx,25.4,54.97,8.72,77.84,10.47,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,131.7,116.55,19.4,183.97,0.32,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,7911.85,947.43,96.93,907.19,4844.48,,,μL/L,μL/L,低能放电,低能放电
alan456/data.xlsx,21,2.01,0.46,1.48,5.61,,,μL/L,μL/L,低能放电,低能放电
alan456/data.xlsx,676.74,969.55,570.57,2483.26,17.48,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,7238.97,695.16,231.6,2394.3,2308.92,,,μL/L,μL/L,高能放电,高能放电
alan456/data.xlsx,101.5,24.45,8.97,128.37,0,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,73.8,148,38.9,181,1.76,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,34.76,5.52,2.09,4.97,10.36,,,μL/L,μL/L,低能放电,低能放电
alan456/data.xlsx,18.19,21.99,6.58,46.92,3.97,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,1.6,1,0.1,0.9,1.6,,,μL/L,μL/L,低能放电,低能放电
alan456/data.xlsx,22400,22400,2690,13440,1570,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,670,224,45,67,2,,,μL/L,μL/L,中温过热,中温过热
alan456/data.xlsx,224,4.5,2,0,0,,,μL/L,μL/L,低温过热,低温过热
alan456/data.xlsx,900,9180,0,900,22,,,μL/L,μL/L,低温过热,低温过热
alan456/data.xlsx,0,224,0,45,0,,,μL/L,μL/L,低温过热,低温过热
alan456/data.xlsx,470,4637,1300,448,0,,,μL/L,μL/L,低温过热,低温过热
alan456/data.xlsx,65,20,10,5,0,,,μL/L,μL/L,低温过热,低温过热
alan456/data.xlsx,53,39,3,4.5,0,,,μL/L,μL/L,低温过热,低温过热
alan456/data.xlsx,219,44,3,3,0,,,μL/L,μL/L,低温过热,低温过热
alan456/data.xlsx,37,47,10,5.5,0,,,μL/L,μL/L,低温过热,低温过热
alan456/data.xlsx,34,30,34,2.5,0,,,μL/L,μL/L,低温过热,低温过热
alan456/data.xlsx,14,62,16,3,0,,,μL/L,μL/L,低温过热,低温过热
alan456/data.xlsx,65,34,16,112,0,,,μL/L,μL/L,高温过热,高温过热
alan456/data.xlsx,0.7,1.5,0.3,1.8,0,,,μL/L,μL/L,中温过热,中温过热
alan456/data.xlsx,0,0.2,0.1,0.13,0,,,μL/L,μL/L,中温过热,中温过热
alan456/data.xlsx,48,40,11,0.5,0,,,μL/L,μL/L,低温过热,低温过热
alan456/data.xlsx,130,140,24,120,0,,,μL/L,μL/L,低温过热,低温过热
alan456/data.xlsx,86,8,2.5,2.5,0,,,μL/L,μL/L,低温过热,低温过热
alan456/data.xlsx,6,3,0.8,0.7,0,,,μL/L,μL/L,低温过热,低温过热
alan456/data.xlsx,50,3,1,0,0,,,μL/L,μL/L,低温过热,低温过热
alan456/data.xlsx,55,22,0.5,2.6,0,,,μL/L,μL/L,低温过热,低温过热
